epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.32,1.1712,2.35919,1.41912,0.01108,0.96154,0.3237,0.17889,1.3501,2.83731,1.49452,0.00052,0.00052,0.00052
2,387.669,1.31286,1.81973,1.51159,0.27611,0.25962,0.1679,0.08275,1.8965,2.89574,2.10958,0.00105475,0.00105475,0.00105475
3,555.706,1.38039,1.74813,1.55789,0.13591,0.2178,0.06705,0.02356,2.20123,3.67835,2.45623,0.00158416,0.00158416,0.00158416
4,724.001,1.43906,1.71965,1.60587,0.18709,0.34615,0.18302,0.07247,2.15346,3.20669,2.58544,0.0019703,0.0019703,0.0019703
5,886.81,1.39086,1.61804,1.54703,0.53939,0.23077,0.24453,0.09536,2.08031,3.1867,2.50743,0.0019604,0.0019604,0.0019604
6,1036.73,1.358,1.55056,1.54658,0.35972,0.62665,0.41739,0.20863,1.47916,2.26072,1.63237,0.0019505,0.0019505,0.0019505
7,1182.96,1.31984,1.48502,1.52775,0.41006,0.31731,0.26287,0.13073,1.62293,2.72595,2.00862,0.0019406,0.0019406,0.0019406
8,1328.06,1.33529,1.41655,1.50718,0.43162,0.51114,0.42048,0.25427,1.54871,2.54797,1.79953,0.0019307,0.0019307,0.0019307
9,1475,1.31469,1.4108,1.47233,0.269,0.35577,0.19159,0.08416,1.96056,2.8517,2.20786,0.0019208,0.0019208,0.0019208
10,1621.93,1.32045,1.37138,1.49682,0.41122,0.44995,0.33932,0.17213,1.61348,2.27966,1.85725,0.0019109,0.0019109,0.0019109
11,1769.66,1.31215,1.30414,1.50996,0.48636,0.66464,0.5355,0.31551,1.36293,1.53971,1.51645,0.001901,0.001901,0.001901
12,1919.76,1.25612,1.2469,1.46812,0.67698,0.67308,0.67411,0.37134,1.38491,1.50535,1.59343,0.0018911,0.0018911,0.0018911
13,2086.33,1.28686,1.24012,1.464,0.6461,0.80769,0.68152,0.42147,1.14558,1.46195,1.34964,0.0018812,0.0018812,0.0018812
14,2242.87,1.24111,1.20475,1.44389,0.71495,0.68269,0.71212,0.44846,1.26453,1.29287,1.37327,0.0018713,0.0018713,0.0018713
15,2392.2,1.25465,1.20925,1.46343,0.43249,0.48077,0.40856,0.22608,1.66915,1.79782,1.72985,0.0018614,0.0018614,0.0018614
16,2536.06,1.21862,1.1921,1.44667,0.6842,0.66665,0.69349,0.3616,1.48342,1.48781,1.63656,0.0018515,0.0018515,0.0018515
17,2687.83,1.21217,1.14441,1.42689,0.67852,0.58654,0.62207,0.37947,1.30855,1.4335,1.50064,0.0018416,0.0018416,0.0018416
18,2839.45,1.15923,1.11932,1.3769,0.52486,0.60577,0.55383,0.37598,1.16255,1.47127,1.3629,0.0018317,0.0018317,0.0018317
19,2997.84,1.18042,1.08619,1.39758,0.6812,0.72115,0.77357,0.51048,1.13391,1.12685,1.34702,0.0018218,0.0018218,0.0018218
20,3161.3,1.18138,1.08043,1.36712,0.66037,0.75,0.65987,0.44081,1.1197,1.22602,1.33414,0.0018119,0.0018119,0.0018119
21,3308.88,1.13687,1.05464,1.35582,0.63273,0.71154,0.6831,0.48746,1.05639,1.40305,1.27333,0.001802,0.001802,0.001802
22,3454.56,1.1546,1.10957,1.37846,0.74088,0.68735,0.72818,0.51268,1.18029,1.2724,1.37697,0.0017921,0.0017921,0.0017921
23,3600.56,1.16547,1.04779,1.37012,0.59075,0.80769,0.72409,0.49172,1.08561,1.10519,1.27977,0.0017822,0.0017822,0.0017822
24,3743.83,1.16941,1.06749,1.36879,0.70712,0.7661,0.71858,0.49447,1.07948,1.1972,1.31365,0.0017723,0.0017723,0.0017723
25,3887.36,1.10149,1.02042,1.34046,0.59945,0.73392,0.69202,0.4828,1.10709,1.25905,1.36419,0.0017624,0.0017624,0.0017624
26,4029.86,1.13938,0.99122,1.3382,0.67583,0.70163,0.6999,0.46775,1.12654,1.2305,1.34027,0.0017525,0.0017525,0.0017525
27,4172.33,1.10349,0.98805,1.33548,0.63619,0.63898,0.65065,0.46568,1.0516,1.25653,1.2841,0.0017426,0.0017426,0.0017426
